Learner_ID,Enrollment_Date,Cohort_Month,Course_Category,Plan_Type,Plan_Fee_INR,Payment_Method,Lead_Source,Device_Type,Employment_Status,Age,Gender,City_Tier,Program_Duration_Weeks,Status,Completion_Pct,Dropout_Week,Dropout_Reason,Last_Active_Date,Videos_Watched,Assignments_Submitted,Mentor_Sessions,Avg_Weekly_Hours,Login_Days_Per_Week,NPS_Score,Placement_Eligible,Placed,Placement_Salary_INR,Placement_Company_Tier
LRN-10000,2023-10-17,2023-10,UI/UX Design,Monthly,2999,UPI,Social Media,Mobile,Working Professional,38,Female,Tier 3,18,Dropped,5.6,1.0,Content too difficult,2023-10-24,3,0,2,5.0,1.7,4,False,False,,
LRN-10001,2022-04-25,2022-04,Digital Marketing,Annual,24999,Debit Card,Email Campaign,Mobile,Working Professional,27,Other,Tier 2,16,Active,31.2,,,2022-05-30,11,2,3,8.4,4.5,8,False,False,,
LRN-10002,2022-01-26,2022-01,UI/UX Design,Monthly,2999,Net Banking,Referral,Tablet,Freelancer,28,Male,Tier 2,18,Dropped,72.2,13.0,Got a job / no longer needed,2022-04-27,12,6,1,1.8,1.2,1,False,False,,
LRN-10003,2022-10-09,2022-10,Digital Marketing,Annual,24999,Net Banking,Paid Ads,Mobile,Freelancer,27,Other,Tier 2,16,Completed,98.1,,,2023-01-29,58,13,7,6.4,6.2,8,True,False,,
LRN-10004,2022-09-08,2022-09,Data Science & Analytics,Monthly,2999,Net Banking,Paid Ads,Mobile,Freelancer,19,Other,Tier 3,24,Completed,98.3,,,2023-02-23,90,22,7,12.0,4.4,9,True,False,,
LRN-10005,2022-08-17,2022-08,Data Science & Analytics,Quarterly,7999,UPI,Social Media,Desktop,Job Seeker,24,Female,Tier 3,24,Completed,99.6,,,2023-02-01,85,22,6,13.5,6.4,9,True,False,,
LRN-10006,2022-05-23,2022-05,Data Science & Analytics,Monthly,2999,Credit Card,Email Campaign,Mobile,Working Professional,36,Other,Tier 2,24,Active,70.8,,,2022-09-19,39,10,2,8.7,3.2,8,False,False,,
LRN-10007,2022-04-15,2022-04,UI/UX Design,Quarterly,7999,UPI,Organic Search,Mobile,Student,25,Male,Tier 2,18,Dropped,16.7,3.0,Got a job / no longer needed,2022-05-06,5,1,0,2.3,0.7,2,False,False,,
LRN-10008,2023-11-24,2023-11,UI/UX Design,Monthly,2999,UPI,Organic Search,Mobile,Working Professional,27,Female,Tier 1,18,Dropped,5.6,1.0,Technical issues,2023-12-01,2,0,0,3.5,1.7,2,False,False,,
LRN-10009,2023-07-13,2023-07,UI/UX Design,Quarterly,7999,Net Banking,Referral,Desktop,Job Seeker,30,Other,Tier 1,18,Active,88.9,,,2023-11-02,28,13,6,9.9,3.3,8,False,False,,
LRN-10010,2022-03-31,2022-03,UI/UX Design,Quarterly,7999,UPI,Paid Ads,Desktop,Working Professional,21,Other,Tier 1,18,Dropped,5.6,1.0,Financial reasons,2022-04-07,1,0,1,3.1,0.9,3,False,False,,
LRN-10011,2023-08-28,2023-08,UI/UX Design,Monthly,2999,UPI,Paid Ads,Mobile,Job Seeker,33,Male,Tier 2,18,Completed,97.3,,,2024-01-01,46,18,11,11.4,4.4,7,True,True,353161.0,Tier 3
LRN-10012,2023-03-09,2023-03,Data Science & Analytics,Monthly,2999,Net Banking,Paid Ads,Mobile,Student,21,Female,Tier 1,24,Completed,98.8,,,2023-08-24,86,21,10,9.6,6.3,10,True,True,1065894.0,Startup
LRN-10013,2022-02-02,2022-02,Web Development,Quarterly,7999,Net Banking,Organic Search,Tablet,Working Professional,23,Other,Tier 3,20,Dropped,45.0,9.0,Lost interest,2022-04-06,15,4,3,2.9,2.6,2,False,False,,
LRN-10014,2022-01-31,2022-01,UI/UX Design,Monthly,2999,Net Banking,Organic Search,Desktop,Freelancer,20,Other,Tier 1,18,Dropped,66.7,12.0,Lack of time,2022-04-25,8,1,0,1.0,0.6,5,False,False,,
LRN-10015,2022-04-06,2022-04,Data Science & Analytics,Monthly,2999,Credit Card,Social Media,Mobile,Student,20,Male,Tier 2,24,Completed,99.1,,,2022-09-21,96,21,9,7.9,6.1,8,True,True,638519.0,Tier 1
LRN-10016,2022-08-12,2022-08,Web Development,Quarterly,7999,Debit Card,Referral,Mobile,Working Professional,31,Other,Tier 1,20,Completed,95.7,,,2022-12-30,62,17,12,9.8,6.0,9,True,False,,
LRN-10017,2022-08-27,2022-08,Web Development,Annual,24999,Credit Card,Referral,Tablet,Working Professional,23,Female,Tier 1,20,Completed,98.2,,,2023-01-14,79,19,9,6.7,5.7,8,True,True,745489.0,Tier 3
LRN-10018,2023-06-02,2023-06,Data Science & Analytics,Annual,24999,UPI,Paid Ads,Desktop,Working Professional,25,Female,Tier 1,24,Dropped,8.3,2.0,Lack of time,2023-06-16,2,0,0,3.9,2.4,2,False,False,,
